Ingredient_EN,CO2_kg_per_kg,source,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Veal, loin / shoulder / breast, raw",15.98,German,Réunion,1,2,0,1,1,1,2,0,2,1,1,1
"Veal, neck / chop / knuckle / shank, raw",20.07,German,Guatemala,1,0,1,0,0,2,0,0,1,2,2,1
"Veal, escalope / filet, raw",19.86,German,Slovakia,0,2,0,2,0,2,2,2,0,2,0,0
"Veal, minced steak, raw",24.38,German,Bahamas,1,2,1,2,1,1,0,0,1,2,2,2
"Veal, roast, raw",24.93,German,Uruguay,0,1,2,2,0,0,2,1,2,0,2,1
"Calf, foot, raw",20.07,German,Faroe Islands,1,0,1,2,1,0,0,1,2,1,1,0
"Rice noodle, cooked, unsalted",1.27,German,Niger,2,2,1,0,2,2,1,1,0,2,1,1
"Rice noodle, dried",3.72,German,Ghana,2,2,2,2,2,0,2,0,1,2,0,2
Wine,1.14,German,Bosnia and Herzegovina,0,1,1,1,1,0,0,1,1,1,0,1
"Vinegar, balsamic",1.12,German,Israel,1,0,1,1,2,2,2,1,2,0,0,0
"Vinegar, cider",0.85,German,French Southern Territories,1,0,1,0,2,1,0,1,0,2,2,1
"Snapper, raw",4.24,German,Mongolia,1,0,2,1,0,0,1,1,0,1,1,2
Vodka,1.16,German,Mexico,0,1,2,0,1,1,1,2,0,1,1,0
Poultry nuggets,5.46,German,Russian Federation,2,2,1,0,2,0,2,0,2,2,2,1
Whisky,1.16,German,Algeria,2,2,2,2,2,2,2,1,0,0,2,0
"Yogurt, Greek-style, ewe's milk",2.64,German,Kuwait,0,2,2,0,0,2,1,1,0,0,1,0
"Yogurt, Greek-style, plain",2.44,German,Monaco,2,2,0,1,2,1,2,1,2,2,2,0
"Yogurt, goat's milk, plain, around 5% fat",1.87,German,Bahrain,1,0,1,0,2,1,0,2,0,2,2,1
"Broiler, national average, at farm gate",1.991909668,German,South Georgia and the South Sandwich Islands,1,1,2,0,0,0,1,1,0,0,1,2
"Broiler; Bleu Blanc Coeur, at farm gate",1.447443954,German,Pakistan,1,1,1,1,0,2,1,1,1,0,2,2
"Broiler, conventional, at farm gate",1.874527868,German,Cambodia,0,0,0,2,2,1,1,0,1,1,2,1
"Broiler, Label Rouge, at farm gate",2.826588116,German,Nauru,2,2,0,2,2,2,2,0,0,2,1,2
"Oeuf, national average, at farm gate",1.57558691,German,Singapore,2,0,2,1,1,2,1,2,0,2,2,0
"Oeuf, Bleu Blanc Coeur, outdoor system, at farm gate",1.67851364,German,Saint Barthélemy,2,0,2,1,2,1,1,2,2,0,2,0
"Oeuf, conventional, indoor production, at farm gate",1.546024923,German,Slovakia,0,2,0,2,1,0,2,0,0,1,0,2
"Oeuf, conventional, indoor system, non-cage, at farm gate",2.116115946,German,Bahamas,2,2,0,2,0,0,2,0,2,0,2,2
"Oeuf, conventional, outdoor system, at farm gate",2.045377713,German,"Congo, The Democratic Republic of the",1,1,1,1,0,1,0,2,2,2,1,0
"Duck for roasting, conventional, at farm gate",2.739945993,German,Liechtenstein,0,0,0,2,2,0,0,2,1,0,1,1
"Fattening duck, conventional, at farm gate",3.34166969,German,Sri Lanka,2,0,2,1,1,0,2,2,1,0,1,2
"Turkey, national average, at farm gate",2.946911983,German,"Bonaire, Sint Eustatius and Saba",0,2,1,1,1,1,2,2,2,0,2,1
"Turkey, conventional, at farm gate",2.911690725,German,Bulgaria,1,0,1,2,1,0,2,0,0,2,0,2
"Turkey, Label Rouge, at farm gate",4.085732652,German,Côte d'Ivoire,0,1,1,2,0,1,1,2,1,1,2,0
"Beef cattle, national average, at farm gate",16.98564839,German,Congo,0,1,2,2,2,1,2,1,2,0,1,2
"Cow milk, national average, at farm gate",1.182891609,German,Sri Lanka,1,1,0,2,0,1,0,2,1,1,2,1
"Cow milk, conventional, highland milk system, grass fed, at farm gate",1.516033508,German,Botswana,0,2,1,2,2,2,2,1,2,0,1,0
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",1.300964498,German,Peru,1,2,2,2,0,1,0,2,2,0,2,2
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gate",1.122957364,German,Liberia,2,1,0,2,0,1,1,1,1,1,2,1
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm gate",1.108634866,German,"Moldova, Republic of",2,0,1,2,1,0,1,2,1,2,0,2
"Goat milk, conventional, intensive forage area, at farm gate",1.306932224,German,Central African Republic,0,0,2,0,2,0,0,1,0,2,2,2
"Sheep milk, conventional, Roquefort system, at farm gate",2.091631637,German,Burundi,0,2,0,2,0,2,2,0,1,2,2,2
"Large trout, 2-4kg, conventional, at farm gate",2.151208613,German,Norway,1,0,1,1,1,1,0,1,0,2,2,0
"Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate mit BargeEI",4.723670646,German,United Arab Emirates,2,0,2,0,0,2,2,0,0,0,0,1
"Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate",4.490463468,German,Tonga,1,2,0,2,1,1,1,0,2,1,1,0
"Small trout, 250-350g, conventional, at farm gate",1.747855528,German,Luxembourg,1,0,2,2,0,1,1,1,2,2,2,1
"Mussels, with shell, at farm gate",0.456204039,German,Curaçao,2,2,1,2,1,1,0,1,0,0,1,1
"Rabbit, conventional, in cage, at farm gate",2.737517571,German,Trinidad and Tobago,1,0,2,0,1,1,2,2,2,2,2,1
"Lamb, conventional, indoor production system, at farm gate",19.58966908,German,Montserrat,1,1,2,2,1,1,0,1,0,1,2,2
"Lamb, conventional, Roquefort system, at farm gate",5.289713686,German,Ukraine,1,0,1,2,2,2,0,0,1,0,2,2
"Pig, conventional, national average, at farm gate",2.465847579,German,Chad,0,1,2,1,0,2,1,2,0,0,1,1
"Pig, conventionnal, Bleu Blanc Coeur, at farm gate",2.36091131,German,Faroe Islands,1,2,0,2,1,2,2,0,0,1,2,0
"Pig, Label Rouge, outdoor system, at farm gate",2.41533122,German,"Korea, Republic of",0,1,1,1,2,2,1,2,0,0,1,1
"Pig, Label Rouge, pig with run system, at farm gate",3.347065073,German,Russian Federation,1,0,2,2,1,2,1,0,1,0,0,1
"Durum wheat grain, conventional, national average, at farm gate",0.431247406,German,Sao Tome and Principe,1,2,2,2,2,2,2,1,0,0,2,1
"Jasmine rice, national average, at farm gate/TH U",4.340150013,German,Palau,2,0,1,2,0,0,1,1,2,2,1,1
"Soft wheat grain, basis scenario,at farm gate",0.305896947,German,Greece,0,0,2,1,2,1,2,1,1,2,2,1
"Apple, conventional, national average, at orchard",0.085896026,German,Australia,2,2,2,0,0,2,0,2,2,1,2,0
"Banana, mixed production, West Indies, at farm gate WI/U",0.224535294,German,Switzerland,1,0,2,1,2,1,1,1,2,2,2,1
"Cherry, conventional, national average, at orchard",0.429623589,German,Puerto Rico,0,1,2,2,1,0,2,2,2,2,2,1
"Cider apple, conventional, national average, at orchard",0.081665741,German,Egypt,0,0,2,2,1,2,0,1,0,0,1,0
"Clementine, export quality, Souss, at orchard",0.291972879,German,Åland Islands,0,1,0,0,2,1,0,0,1,1,2,2
"Cocoa, conventional, Cabruca, at orchard/BR U",3.137386122,German,Slovakia,0,0,1,0,2,0,2,0,0,1,1,2
"Grape, integrated, AOC, Beaujolais, at vineyard",0.583374229,German,Angola,1,0,2,1,1,0,1,0,1,1,1,1
"Grape, integrated, variety mix, Languedoc-Roussillon, at vineyard",0.355154547,German,Uruguay,1,1,2,0,1,0,1,2,0,2,1,0
"Mango, conventional, Val de San Francisco, at orchard/BR U",0.122327302,German,Niue,1,1,1,0,2,2,2,2,1,0,1,2
"Peach, conventional, national average, at orchard",0.184367554,German,Niue,2,2,0,0,0,1,2,1,1,0,0,0
"Pear, national average, at farm gate",0.064943195,German,Samoa,1,2,1,0,0,1,2,0,1,0,1,0
"Pineapple, mixed production, Reunion Island average, at production site/RE U",0.334087419,German,Egypt,1,0,2,0,0,1,0,2,0,2,1,2
"Walnut, dried inshell, national average, at farm gate",1.265919541,German,Sao Tome and Principe,1,1,2,0,2,0,1,1,0,1,2,2
"French bean, conventional, national average, at farm gate",0.582296537,German,Algeria,1,0,2,0,0,2,0,1,1,2,0,2
"Spring faba bean, conventional, national average, at farm gate",0.178140072,German,Sao Tome and Principe,1,0,0,1,1,1,0,0,0,0,1,0
"Spring pea, conventional, 15% moisture, animal feed, at farm gate, production",0.195328081,German,Uruguay,2,0,0,2,0,2,0,0,0,0,1,2
"Winter pea, conventional, 15% moisture, at farm gate",0.21202016,German,Spain,1,2,0,0,0,2,0,0,1,0,2,1
"Sunflower grain, conventional, 9% moisture, national average, animal feed, at farm gate, production",0.476364636,German,Central African Republic,0,0,0,0,0,1,1,0,2,1,0,0
"Seaweed non-optimized production, 1kg algae (Laminaria), fresh weight",0.917568033,German,Bangladesh,1,0,0,2,0,0,0,0,1,1,0,0
"Optimized seaweed production, 1kg algae (Laminaria), fresh weight",0.106408211,German,Belgium,0,0,0,2,2,0,2,0,1,0,2,0
"Starch potato, conventional, national average, at farm gate",0.058451473,German,Cambodia,0,0,1,0,2,0,2,1,1,0,2,2
"Sugar beet roots, conventional, national average, animal feed, at farm gate, production",0.028613591,German,Lebanon,1,1,0,0,1,0,1,1,0,2,1,1
"Ware potato, conventional, variety mix, national average, at farm gate",0.063111685,German,Aruba,1,0,1,1,1,2,1,1,2,0,1,2
"Ware potato, conventional, for fresh market, firm flesh varieties, at farm gate",0.073956614,German,Lebanon,1,0,2,1,1,1,2,2,1,0,2,1
"Ware potato, conventional, for fresh market, other varieties, at farm gate",0.064223905,German,Denmark,2,1,0,0,1,2,2,0,1,0,1,2
"Leek, early planted, conventional, at farm gate",0.399506744,German,Finland,1,0,0,0,1,1,1,0,0,2,1,1
"Autumn irrigated leek, conventional, at farm gate",0.414578865,German,Sint Maarten (Dutch part),0,1,2,0,0,1,1,0,2,1,1,1
"Carrot, conventional, national average, at farm gate",0.063127614,German,Palau,2,2,1,0,1,2,0,1,2,2,1,1
"Cauliflower, national average, at farm gate",0.268188206,German,Ecuador,2,0,2,2,0,0,0,1,1,0,2,0
"Cauliflower, summer, conventional, at farm gate",0.169419775,German,Djibouti,2,0,0,1,0,1,0,1,1,0,1,1
"Cauliflower, winter, conventional, at farm gate",0.279986899,German,Lebanon,0,2,0,0,0,0,0,0,2,0,1,1
"Chicory witloof, national average, at farm gate",0.339403795,German,Jersey,1,2,1,2,1,0,2,2,2,2,0,1
"Chicory witloof, conventional, national average at farm gate",0.336391109,German,Panama,2,0,1,1,0,2,2,2,2,1,1,0
"Chicory witloof, early, conventional at farm gate",0.348250986,German,Senegal,0,2,1,2,1,0,2,2,0,2,1,2
"Chicory witloof, late, conventional at farm gate",0.354570637,German,Ecuador,0,0,2,1,1,2,0,1,2,0,0,2
"Chicory witloof, season, conventional at farm gate",0.312281642,German,Israel,2,0,1,2,1,1,1,2,1,1,0,1
"Lettuce, conventional, national average, at farm gate",0.165254296,German,Namibia,2,1,1,1,2,0,2,2,0,2,0,1
"Lettuce, autumn under tunnel, conventional, at farm gate",0.109190172,German,Kyrgyzstan,1,1,2,1,2,1,1,0,0,2,1,0
"Lettuce, open field, conventional, at farm gate",0.217860991,German,"Micronesia, Federated States of",1,2,2,0,1,0,0,0,1,1,2,2
"Lettuce, winter under tunnel, conventional, at farm gate",0.141167971,German,Saint Pierre and Miquelon,0,0,1,1,0,1,2,2,2,2,2,0
"Onion, national average, at farm",0.053946494,German,Denmark,1,0,2,0,1,1,1,2,0,1,1,2
"Melon, national average, at farm gate",0.166732268,German,Madagascar,2,0,1,2,2,2,0,2,0,2,0,1
"Melon, open field, conventional, at farm gate",0.144499342,German,Armenia,2,1,2,1,2,1,2,1,1,0,0,1
"Melon, protected crop, conventional, at farm gate",0.313101093,German,Angola,1,0,0,1,1,0,2,2,1,0,1,0
"Melon, under low tunnel, conventional, at farm gate",0.248622485,German,Paraguay,1,0,2,0,2,0,0,0,0,0,0,2
"Squash, national average, at farm gate",0.1471815,German,Oman,2,0,1,1,1,0,0,2,0,2,1,0
"Squash, open field, conventional, at farm gate",0.122037557,German,Luxembourg,1,1,2,2,1,1,0,1,0,2,1,2
"Squash, autumn, under tunnel, conventional, at farm gate",0.281464516,German,Saint Lucia,2,1,0,1,2,2,2,0,1,2,1,1
"Squash, conventional, national average, at farm gate",0.146887354,German,Belarus,2,2,1,1,2,2,0,0,0,2,2,1
"Squash, springtime, under tunnel, conventionel, at farm gate",0.154223772,German,French Guiana,0,1,2,0,2,1,0,1,0,2,2,0
"Strawberry, national average, at farm gate",1.040575246,German,Philippines,0,2,0,1,2,1,1,0,2,1,2,0
"Strawberry, open field, conventional, at farm gate",0.166033095,German,Azerbaijan,2,2,2,0,1,0,0,2,2,1,1,0
"Tomato, production mix, greenhouse production, national average, at greenhouse",2.329921728,German,Nepal,0,0,2,2,0,1,1,1,0,0,1,0
"Tomato, average basket, conventional, heated greenhouse, national average, at greenhouse",2.362275381,German,Greenland,2,1,0,0,0,2,1,2,1,1,1,2
"Tomato, average basket, conventional, soil based, non-heated greenhouse, at greenhouse",0.148778136,German,Egypt,2,2,2,1,2,1,2,0,2,1,2,0
"Tomato, conventional, new closed glasshouse, unavoidable energy and biomass, no liquid CO2, runoff recycling, at farm gate",0.206687012,German,Afghanistan,2,2,2,0,2,0,0,1,0,1,0,2
"Tomato, conventional, new closed glasshouse, unavoidable energy and biomass, runoff recycling, at farm gate",0.594729522,German,Bahamas,1,1,1,0,2,1,1,0,0,1,1,0
"Tomato, conventional, new glasshouse, biomass and natural gas, runoff recycling, at farm gate",0.748942768,German,Réunion,0,1,0,0,2,0,1,2,2,2,1,1
"Tomato, conventional, new glasshouse, natural gas, no runoff recycling, at farm gate",1.650232918,German,Heard Island and McDonald Islands,1,0,1,2,0,0,1,1,2,1,0,2
"Tomato, conventional, new glasshouse, natural gas, no runoff recycling, with water footprint, at farm gate",1.650232918,German,Brazil,2,2,2,1,0,2,1,1,2,2,1,2
"Tomato, conventional, new glasshouse, natural gas, runoff recycling, at farm gate",1.616596113,German,Cabo Verde,0,0,1,1,1,2,1,0,2,1,2,0
"Tomato, conventional, new glasshouse, natural gas, runoff recycling, with water footprint, at farm gate",1.616596113,German,French Southern Territories,1,0,1,0,2,1,2,1,2,0,1,0
"Tomato, conventional, new glasshouse, unavoidable energy and natural gas, runoff recycling, at farm gate",0.649444412,German,Sweden,2,2,0,2,2,0,1,0,0,1,0,0
"Tomato, conventional, old glasshouse, natural gas, no runoff recycling, at farm gate",1.972547889,German,Macao,2,0,0,1,0,1,1,1,0,0,1,0
"Tomato, medium size, conventional, heated greenhouse, at greenhouse",1.673390886,German,Bermuda,2,1,1,2,1,0,1,0,1,1,1,1
"Tomato, medium size, conventional, soil based, non-heated greenhouse, at greenhouse",0.143458191,German,Uganda,2,2,1,0,0,1,0,0,1,0,2,0
"Albacore, NEA, Pelagic trawl, average, at landing",4.248758934,German,Kuwait,1,2,1,2,1,1,1,0,2,2,2,2
"Bluefin Tuna, MedSea, Longline, average, at landing",1.805547313,German,Faroe Islands,2,2,0,0,2,0,0,1,1,0,1,1
"Common Sole, BBiscay, Trammel Net, average, at landing",2.168957474,German,Papua New Guinea,0,1,0,0,2,2,2,1,1,1,0,0
"European Anchovy, ECA, Seine, average, at landing",0.449994809,German,Macao,1,1,2,0,2,1,1,2,0,1,2,2
"Saithe, NorthSea, Bottom Trawl, average, fresh, at landing",2.096663581,German,Angola,1,2,1,2,0,1,1,0,0,1,0,0
"Saithe, NorthSea, Bottom Trawl, average, frozen, at landing",4.299919284,German,Panama,0,2,0,0,2,1,1,2,0,0,0,1
"Egg, organic, system n°1, at farm gate",2.33280431,German,Austria,0,2,2,2,2,1,0,1,2,0,1,1
"Calf, 14 days old, organic, system n°1, at farm gate",10.27076094,German,Rwanda,1,1,2,0,1,0,0,2,2,2,0,2
"Cull cow, organic, system n°1, at farm gate",17.06026455,German,Hong Kong,0,0,2,1,0,0,0,1,2,0,1,1
"Milk, organic, system n°1, at farm gate",1.095102331,German,Argentina,1,2,1,1,0,1,0,2,0,1,1,2
"Cull ewe, organic, system n°1, at farm gate",11.75654646,German,Greece,1,2,2,2,0,2,2,0,1,0,2,2
"Lamb, organic, system n°1, at farm gate",15.03978269,German,Zambia,0,1,2,1,2,0,0,1,2,2,0,0
"Wool, organic, system n°1, at farm gate",3.024297671,German,American Samoa,0,2,0,0,0,1,2,0,0,2,0,2
"Cull sow, organic, national average, at farm gate",13.07080413,German,Samoa,1,0,2,1,0,2,0,0,2,0,1,1
"Fattened pig, organic, national average, at farm gate",5.220463761,German,Uzbekistan,0,1,2,2,2,0,1,1,2,0,0,0
"Grain maize, organic, system n°1, at farm gate",0.209438829,German,Chad,1,1,2,2,0,2,1,2,1,2,0,1
"Spring barley, from intercrop, organic, system n°1, at farm gate",0.834421126,German,Comoros,0,2,2,2,1,2,2,2,0,1,0,1
"Spring barley, organic, system n°1, at farm gate",0.63248108,German,Anguilla,1,2,0,2,2,0,0,2,2,1,2,1
"Triticale grain, organic, system n°1, at farm gate",0.75515315,German,French Southern Territories,1,1,0,0,1,2,0,2,2,0,1,2
"Winter barley, organic, system n°1, at farm gate",0.426750609,German,Tokelau,1,0,1,2,1,0,1,1,1,0,1,0
"Winter oat, organic, system n°1, at farm gate",0.336137881,German,Malta,1,1,1,0,0,0,2,0,0,0,0,0
"Winter wheat, organic, system n°1, at farm gate",0.358159674,German,Portugal,0,0,0,0,1,0,0,0,1,0,0,0
"Pear, organic, at farm gate",0.098083291,German,Andorra,1,2,1,1,1,1,0,0,1,1,2,0
"Walnut, dried inshell, traditional varieties, organic, at farm gate",1.477604022,German,Netherlands,2,2,0,0,1,0,2,1,2,0,1,0
"Wine grape, organic, PDO, system n°1, at vineyard gate",0.146807408,German,Honduras,1,0,2,1,2,0,0,1,2,0,1,0
"Chickpea, organic, system n°1, at farm gate",0.498675242,German,Macao,0,1,0,0,2,1,2,2,1,1,2,0
"Soybean grain, organic, system n°1, at farm gate",0.599378296,German,Isle of Man,2,0,0,1,1,1,1,1,2,2,2,0
"Spring faba bean, from intercrop, organic, system n°1, at farm gate",1.073015122,German,Bouvet Island,0,0,1,1,2,2,0,2,0,1,1,0
"Spring faba bean, organic, system n°1, at farm gate",1.813113283,German,Uzbekistan,2,0,1,2,0,1,0,0,1,1,1,0
"Spring pea, from intercrop, organic, system n°1, at farm gate",0.274327052,German,Papua New Guinea,1,1,0,1,1,1,0,1,1,2,1,1
"Winter faba bean, organic, system n°1, at farm gate",1.760487427,German,Puerto Rico,0,1,1,1,2,0,0,2,0,1,0,1
"Winter pea, from intercrop, organic, system n°1, at farm gate",0.591382765,German,Togo,2,1,1,1,1,2,0,0,1,2,1,0
"Sunflower grain, organic, system n°1, at farm gate",0.538197419,German,Nicaragua,2,1,2,1,2,2,2,1,2,1,0,0
"Alfalfa, organic, system n°1, at farm gate",0.104741524,German,Martinique,1,2,1,2,0,2,0,2,2,0,1,1
"Sorghum, organic, system n°1, at farm gate",0.473951467,German,Marshall Islands,2,0,2,0,1,0,2,2,1,0,2,1
"Carrot, organic, Lower Normandy, at farm gate",0.092052163,German,Turks and Caicos Islands,1,2,1,0,1,2,0,1,2,2,2,2
"Cauliflower, winter, organic, at farm gate",0.328965619,German,Martinique,2,0,2,0,1,2,0,2,0,2,1,1
"Chicory witloof, season, organic at farm gate",0.539213526,German,Mongolia,2,1,1,0,0,1,1,2,2,2,0,2
"Melon, organic, at farm gate",0.146348321,German,Dominican Republic,1,1,2,2,1,2,1,2,0,2,0,1
"Squash, springtime, under tunnel, organic, at farm gate",0.161422923,German,Hungary,2,1,2,2,0,2,0,2,1,0,2,1
"Tomato, organic, greenhouse production, national average, at greenhouse",0.205365196,German,Philippines,0,2,2,1,2,1,2,2,1,0,1,2
"Cabbage, fresh",0.19,German,Italy,2,0,0,1,2,1,1,1,0,2,2,1
"Strawberries, fresh",0.19,German,Gabon,2,0,2,0,1,0,1,0,0,0,2,1
"Beetroot, fresh",0.22,German,Uganda,2,2,2,2,1,2,0,1,2,1,2,0
Table salt,0.22,German,Rwanda,2,2,1,0,2,2,1,2,1,1,1,2
Potatoes,0.23,German,Greece,1,2,1,1,2,2,1,1,2,1,2,2
Dry onion,0.25,German,Macao,1,0,2,0,2,0,2,0,0,2,2,2
"Water, 1 litre PET bottle",0.26,German,British Indian Ocean Territory,0,0,2,1,0,2,2,0,0,1,0,1
"Mushrooms (Agaricus), fresh",0.26,German,Niue,2,0,0,0,0,1,1,0,2,1,1,2
"Berries, fresh",0.32,German,Wallis and Futuna,2,2,1,1,2,2,1,1,2,2,1,2
"Apples, whole fruit",0.33,German,China,0,0,1,1,2,2,2,2,2,2,0,0
Carrots,0.37,German,Anguilla,1,0,0,2,2,2,2,0,0,0,1,2
"Soy drink, 1 litre",0.38,German,Kazakhstan,1,2,0,0,1,2,2,2,0,1,0,1
Oranges,0.38,German,Mongolia,2,2,2,2,0,1,0,2,2,0,2,1
"Oat drink, 3% fat, 1 litre",0.45,German,Ireland,1,2,0,0,0,1,1,2,0,1,0,0
"Fallow deer meat, average",0.47,German,Mozambique,1,0,0,2,2,2,2,1,2,2,0,0
Almond milk,0.47,German,Turkmenistan,0,1,2,0,0,1,1,1,2,2,2,1
"Berries, frozen",0.48,German,Eswatini,1,2,2,2,1,0,1,1,2,2,2,0
Seitan,0.52,German,Faroe Islands,1,2,1,2,0,2,0,0,1,0,2,0
"Crushed tomatoes, in box",0.54,German,Pitcairn,2,0,0,1,1,0,0,1,1,0,2,1
"Bananas, whole fruit",0.54,German,Burundi,0,1,1,1,1,0,1,2,0,2,2,0
"Lettuce, fresh",0.57,German,"Korea, Democratic People's Republic of",2,0,1,0,2,0,2,2,1,2,1,2
"Broccoli, fresh",0.6,German,Senegal,0,1,1,1,1,2,1,2,1,0,2,0
"Rice drink, 1 litre",0.62,German,Saint Barthélemy,1,1,1,1,2,0,1,0,1,1,1,2
"Spinach, fresh",0.64,German,San Marino,2,0,1,1,1,1,1,0,0,1,1,1
"Chickpeas, dry",0.71,German,Denmark,0,1,1,0,2,1,2,0,2,0,1,2
"Spinach, frozen",0.71,German,Åland Islands,1,2,0,0,0,2,0,2,0,2,1,2
"Green peas, frozen",0.73,German,Guernsey,1,1,0,0,0,0,2,1,2,0,2,1
"Canned tomatoes, 500ml packs",0.76,German,Slovakia,2,0,1,0,0,1,1,1,2,2,0,0
Brewed coffee in paper cups,0.79,German,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,1,2,0,1,2,2
"Broccoli, frozen",0.8,German,Greece,0,1,2,2,2,0,0,0,1,0,2,0
"Cantaloupe (melon), whole fruit",0.82,German,Finland,1,0,1,1,1,0,1,1,2,0,0,2
"Beer, 33cl aluminium can",0.82,German,Turkmenistan,1,1,1,1,2,0,0,0,2,2,1,1
Wheat flour,0.86,German,Pitcairn,2,1,2,2,0,0,0,1,1,0,1,0
"Beer, 50cl PET bottle",0.87,German,Singapore,0,0,0,2,2,0,2,2,2,2,1,1
"Broad beans, dry",0.89,German,Jordan,1,1,1,0,0,2,0,0,0,1,2,1
"Orange juice, freshly squeezed, 1 litre",0.91,German,Netherlands,2,1,2,0,1,0,2,2,1,2,1,2
"Beans, dry",0.94,German,Bahamas,2,1,0,2,2,0,1,0,2,1,1,2
"Mango, whole fruit",0.94,German,Chile,0,1,0,0,1,2,1,0,1,1,2,2
Rye flour,0.94,German,Bangladesh,1,2,2,0,1,0,2,2,0,2,2,2
Cornmeal,0.94,German,Gibraltar,1,0,0,1,1,2,1,1,0,2,2,2
"Soft bread, wheat",0.98,German,"Palestine, State of",0,1,0,0,0,1,1,0,2,2,2,1
"Beer, 33cl glas bottle",1.0,German,Pakistan,1,0,2,0,1,2,0,1,2,2,1,2
"Moose meat, average",1.0,German,Brunei Darussalam,1,2,1,1,0,2,2,0,0,0,0,1
Chicken liver pate,1.0,German,Sweden,0,2,2,0,1,1,1,2,2,0,1,0
"Pasta, dry",1.1,German,"Tanzania, United Republic of",2,2,2,2,0,0,2,0,0,2,0,0
"Lentils, dry",1.1,German,Nicaragua,1,0,1,2,0,1,2,0,2,0,1,0
"Milk, 0.4% fat",1.1,German,Iraq,1,2,2,2,0,1,0,0,1,0,0,2
Avocado,1.1,German,Madagascar,0,2,2,2,0,2,0,1,2,1,2,1
Vegetable soup in glass jar,1.1,German,Sweden,2,2,0,2,1,0,2,1,2,2,2,1
Ketchup,1.1,German,"Bolivia, Plurinational State of",1,2,0,0,2,0,1,0,1,0,0,2
Rolled oats,1.1,German,Turks and Caicos Islands,2,1,0,0,0,0,1,0,1,1,2,0
Grapes,1.1,German,Sint Maarten (Dutch part),2,0,2,1,1,2,2,2,0,2,2,0
Mustard (condiment),1.1,German,Cameroon,1,2,2,1,1,2,2,0,2,0,1,0
Canned pineapple with juice,1.1,German,Mayotte,0,2,0,0,0,0,2,2,2,1,0,1
"Carbonated soft drink, 50cl PET bottle",1.2,German,Guinea,0,0,0,0,2,2,0,2,1,0,1,1
"Peas yellow, dry",1.1,German,Côte d'Ivoire,1,0,1,1,1,2,1,0,2,2,2,0
"Kidney beans, dry",1.2,German,El Salvador,1,2,0,1,2,0,0,0,0,2,1,2
"Protein shake, plant-based",1.2,German,Lesotho,1,2,0,1,2,1,1,0,2,1,0,2
"Soy sauce, glas bottle",1.2,German,Panama,0,2,2,2,0,2,1,0,0,1,0,0
"Milk, 1.5% fat",1.2,German,"Micronesia, Federated States of",2,1,2,0,2,2,0,0,0,1,2,0
Oat cream (dairy-free cream substitute),1.3,German,Sweden,2,2,1,1,2,2,0,2,0,0,2,2
Tofu,1.3,German,Ireland,0,0,1,2,2,0,1,0,1,1,0,0
"Pasta with egg, dry",1.4,German,Cuba,0,0,1,1,0,1,1,2,1,2,0,1
"Canned sweetcorn kernels, 0.5 litres",1.4,German,Viet Nam,0,1,2,0,2,1,0,2,1,1,0,2
Falafel,1.4,German,United Arab Emirates,0,0,0,0,1,2,0,0,2,1,0,1
Honey,1.5,German,Morocco,2,0,0,2,2,0,2,1,0,2,0,1
"Red wine, 0.75l glass bottle",1.5,German,Myanmar,0,2,0,1,1,2,2,0,2,0,0,1
"Milk, 3% fat",1.5,German,"Bonaire, Sint Eustatius and Saba",1,0,0,0,2,1,0,0,1,0,1,0
Foam sweets,1.5,German,"Congo, The Democratic Republic of the",0,2,1,1,2,1,2,1,2,0,1,1
Strawberry jam,1.5,German,Andorra,0,1,1,2,2,1,0,2,1,2,2,2
Peanuts,1.6,German,Mali,1,1,1,2,2,1,0,1,1,2,1,0
"Tomatoes, fresh",1.6,German,Libya,2,0,1,2,2,2,0,2,0,0,1,0
"Bell peppers, fresh",1.6,German,Nigeria,1,1,0,2,2,1,2,0,0,2,1,0
"Vegan lasagne, ready meal",1.7,German,Belize,2,1,2,1,0,1,1,1,1,0,2,2
Apple cider vinegar,1.7,German,Botswana,2,1,1,2,1,0,0,0,2,1,0,1
Hummus,1.7,German,Azerbaijan,1,2,0,0,2,1,0,0,0,0,0,1
"Seaweed, edible weight, farmed",1.7,German,Iraq,2,2,1,0,1,0,0,1,2,2,0,1
"Vegan burger, pea protein",1.8,German,Oman,0,1,0,1,1,1,2,0,2,1,1,0
"Peanuts, roasted, salted",1.9,German,Bulgaria,2,1,1,1,0,0,2,2,0,0,0,1
"Chicken drumstick, fresh bone-in shin-on",1.9,German,Haiti,1,0,2,2,1,0,1,0,1,1,1,2
"Minced broad bean protein, frozen",1.9,German,Tuvalu,1,1,1,2,1,2,1,2,1,2,0,0
Spice mix,1.9,German,Kazakhstan,2,0,0,2,2,1,1,1,0,2,1,1
"Peanut butter, glass jar",2.0,German,"Micronesia, Federated States of",1,0,1,0,2,1,0,2,2,1,0,2
